name, raw_materials, required_amount, sell_value, workload, energy, facility_level, module_requirement
wheatmeal, wheat, 50, 70, 54, , 1,
tofu, soybean, 16, 230, 54, , 2,
milled_rice, rice, 18, 240, 54, , 2,
lavender_powder, lavender, 7, 650, 68, , 3,
rice_drink, milled_rice;fresh_water, 2;16, 1860, 162, , 4,
ginseng_powder, ginseng, 3, 1160, 81, , 4,
refined_flour, premium_wheat, 15, 1260, 81, , 5,
coconut_oil, coconut, 5, 1580, 81, , 5,
cocoa_powder, cocoa, 6, 2470, 81, , 6,
coconut_milk, coconut;natural_mineral_spring_water, 5;6, 3820, 162, , 6,
