name, facility, step, ability, min_level, workload
wheat, Farmland, Sowing, Grass, 1, 3
wheat, Farmland, Reaping, Dark, 1, 3
quick_wheat, Farmland, Sowing, Grass, 1, 3
quick_wheat, Farmland, Reaping, Dark, 1, 3
potato, Farmland, Reclaiming, Earth, 1, 5
potato, Farmland, Sowing, Grass, 1, 3
potato, Farmland, Reaping, Dark, 1, 3
rice, Farmland, Reclaiming, Earth, 1, 5
rice, Farmland, Sowing, Grass, 1, 3
rice, Farmland, Reaping, Dark, 1, 3
soybean, Farmland, Reclaiming, Earth, 1, 5
soybean, Farmland, Sowing, Grass, 1, 3
soybean, Farmland, Collecting, Grass, 1, 3
rose, Farmland, Reclaiming, Earth, 1, 5
rose, Farmland, Sowing, Grass, 1, 3
rose, Farmland, Collecting, Grass, 1, 3
cotton, Farmland, Reclaiming, Earth, 1, 5
cotton, Farmland, Sowing, Grass, 1, 3
cotton, Farmland, Collecting, Grass, 1, 3
quick_potato, Farmland, Reclaiming, Earth, 1, 5
quick_potato, Farmland, Sowing, Grass, 1, 3
quick_potato, Farmland, Reaping, Dark, 1, 3
strawberry, Farmland, Reclaiming, Earth, 1, 5
strawberry, Farmland, Sowing, Grass, 1, 3
strawberry, Farmland, Collecting, Grass, 1, 3
lavender, Farmland, Reclaiming, Earth, 1, 5
lavender, Farmland, Sowing, Grass, 1, 3
lavender, Farmland, Reaping, Dark, 1, 3
sugarcane, Farmland, Reclaiming, Earth, 1, 5
sugarcane, Farmland, Sowing, Grass, 1, 3
sugarcane, Farmland, Reaping, Dark, 1, 3
ginseng, Farmland, Reclaiming, Earth, 1, 5
ginseng, Farmland, Sowing, Grass, 1, 3
ginseng, Farmland, Reaping, Dark, 1, 3
grape, Farmland, Reclaiming, Earth, 1, 5
grape, Farmland, Sowing, Grass, 1, 3
grape, Farmland, Collecting, Grass, 1, 3
premium_wheat, Farmland, Reclaiming, Earth, 1, 5
premium_wheat, Farmland, Sowing, Grass, 1, 3
premium_wheat, Farmland, Reaping, Dark, 1, 3
quick_rice, Farmland, Reclaiming, Earth, 1, 5
quick_rice, Farmland, Sowing, Grass, 1, 3
quick_rice, Farmland, Reaping, Dark, 1, 3
cranberry, Farmland, Reclaiming, Earth, 1, 5
cranberry, Farmland, Sowing, Grass, 1, 3
cranberry, Farmland, Collecting, Grass, 1, 3
agave, Farmland, Reclaiming, Earth, 1, 5
agave, Farmland, Sowing, Grass, 1, 3
agave, Farmland, Collecting, Grass, 1, 3
quick_strawberry, Farmland, Reclaiming, Earth, 1, 5
quick_strawberry, Farmland, Sowing, Grass, 1, 3
quick_strawberry, Farmland, Collecting, Grass, 1, 3
willow_wood, Woodland, Reclaiming, Earth, 1, 5
willow_wood, Woodland, Sowing, Grass, 1, 3
willow_wood, Woodland, Logging, Dark, 1, 3
bamboo, Woodland, Reclaiming, Earth, 1, 5
bamboo, Woodland, Sowing, Grass, 1, 3
bamboo, Woodland, Logging, Dark, 1, 3
lemon, Woodland, Reclaiming, Earth, 1, 5
lemon, Woodland, Sowing, Grass, 1, 3
lemon, Woodland, Collecting, Grass, 1, 3
cherry_blossom, Woodland, Reclaiming, Earth, 1, 5
cherry_blossom, Woodland, Sowing, Grass, 1, 3
cherry_blossom, Woodland, Logging, Dark, 1, 3
apple, Woodland, Reclaiming, Earth, 1, 5
apple, Woodland, Sowing, Grass, 1, 3
apple, Woodland, Logging, Dark, 1, 3
maple_syrup, Woodland, Reclaiming, Earth, 1, 5
maple_syrup, Woodland, Sowing, Grass, 1, 3
maple_syrup, Woodland, Logging, Dark, 1, 3
quick_bamboo, Woodland, Reclaiming, Earth, 1, 5
quick_bamboo, Woodland, Sowing, Grass, 1, 3
quick_bamboo, Woodland, Logging, Dark, 1, 3
palm_bark, Woodland, Reclaiming, Earth, 1, 5
palm_bark, Woodland, Sowing, Grass, 1, 3
palm_bark, Woodland, Collecting, Grass, 1, 3
chestnut, Woodland, Reclaiming, Earth, 1, 5
chestnut, Woodland, Sowing, Grass, 1, 3
chestnut, Woodland, Collecting, Grass, 1, 3
walnut, Woodland, Reclaiming, Earth, 1, 5
walnut, Woodland, Sowing, Grass, 1, 3
walnut, Woodland, Collecting, Grass, 1, 3
quick_lemon, Woodland, Reclaiming, Earth, 1, 5
quick_lemon, Woodland, Sowing, Grass, 1, 3
quick_lemon, Woodland, Collecting, Grass, 1, 3
natural_rubber, Woodland, Reclaiming, Earth, 1, 5
natural_rubber, Woodland, Sowing, Grass, 1, 3
natural_rubber, Woodland, Logging, Dark, 1, 3
coconut, Woodland, Reclaiming, Earth, 1, 5
coconut, Woodland, Sowing, Grass, 1, 3
coconut, Woodland, Collecting, Grass, 1, 3
quick_maple_syrup, Woodland, Reclaiming, Earth, 1, 5
quick_maple_syrup, Woodland, Sowing, Grass, 1, 3
quick_maple_syrup, Woodland, Logging, Dark, 1, 3
cocoa, Woodland, Reclaiming, Earth, 1, 5
cocoa, Woodland, Sowing, Grass, 1, 3
cocoa, Woodland, Collecting, Grass, 1, 3
orange_flower, Woodland, Reclaiming, Earth, 1, 5
orange_flower, Woodland, Sowing, Grass, 1, 3
orange_flower, Woodland, Collecting, Grass, 1, 3
quick_coconut, Woodland, Reclaiming, Earth, 1, 5
quick_coconut, Woodland, Sowing, Grass, 1, 3
quick_coconut, Woodland, Collecting, Grass, 1, 3
