name, raw_materials, required_amount, sell_value, sell_currency, workload, facility_level, module_requirement
lemon_incense, lemon, 5, 345, coins, 23, 1,
lavender_incense, lavender, 5, 1260, coins, 27, 2,
rose_incense, rose, 6, 1263, coins, 27, 2,
deluxe_lavender_incense, lavender_incense;aromathyst, 1;4, 3708, coins, 54, 3,
premium_rose_incense, rose_incense;aromathyst, 1;4, 3711, coins, 54, 3,
premium_lemon_incense, lemon_incense;aromathyst, 1;4, 2793, coins, 54, 3,
soap, coconut_oil;lemon_incense, 1;1, 2145, coins, 54, 3,
rose_freshener, bamboo;rose_incense, 4;1, 2507, coins, 54, 3,
cedarwood_incense, pine, 1, 2040, coins, 27, 3,
sachet, soap;cotton_fabric, 1;1, 5343, coins, 81, 4,
lotion, coconut_oil;soap, 1;1, 5400, coins, 81, 4,
deluxe_cedarwood_incense, cedarwood_incense;aromathyst, 1;4, 5118, coins, 54, 4,
mixed_perfume, cedarwood_incense;coconut_oil, 1;1, 4470, coins, 54, 4,
coconutty_candle, mixed_perfume;pine, 1;1, 8475, coins, 81, 4,
