name, raw_materials, required_amount, sell_value, sell_currency, workload, facility_level, module_requirement
plain_rice_porridge, milled_rice;well_water, 2;5, 660, coins, 108, 1,
rose_concentrate, rose;well_water, 12;8, 770, coins, 135, 2,
rock_candy, sugarcane;fresh_water, 6;8, 1180, coins, 135, 3,
strawberry_jam, strawberry, 8, 650, coins, 68, 3,
maple_candy_apple_jam, maple_syrup;apple, 9;8, 950, coins, 135, 3,
chestnut_puree, chestnut, 7, 980, coins, 81, 4,
grape_jam, grape, 9, 1120, coins, 81, 4,
ginseng_porridge, dried_ginseng;milled_rice, 1;2, 2440, coins, 162, 4,
maple_sugar_chunk, maple_syrup, 18, 1060, coins, 81, 5,
malt_sugar, premium_wheat;milled_rice;deep_rock_spring_water, 15;2;6, 3440, coins, 243, 5,
cocoa_spread, cocoa_powder;malt_sugar, 1;1, 8350, coins, 324, 6,
cranberry_jam, cranberry;malt_sugar, 7;1, 7350, coins, 324, 6,
agave_syrup, agave;fresh_water, 6;9, 3080, coins, 162, 6,
