name, facility
soy_sauce_fried_rice, Blazing Stove
creamy_potato_soup, Blazing Stove
cherry_blossom_rice_ball, Blazing Stove
premium_potato_soup, Blazing Stove
tanghulu, Blazing Stove
soy_sauce_tofu, Blazing Stove
sugar_roasted_chestnuts, Blazing Stove
steamed_vermicelli_roll, Blazing Stove
ginseng_chestnut_cake, Blazing Stove
walnut_cake, Blazing Stove
jello, Blazing Stove
strawberry_candy, Blazing Stove
rich_grape_compote, Blazing Stove
premium_jello, Blazing Stove
strawberry_cream_puff, Blazing Stove
cranberry_chocolate, Blazing Stove
soy_sauce, Pickling Jar
salted_cherry_blossom, Pickling Jar
sweet_rice_drink, Pickling Jar
cider_vinegar, Pickling Jar
premium_sweet_rice_wine, Pickling Jar
rice_vinegar, Pickling Jar
salted_lemon, Pickling Jar
premium_salted_lemon, Pickling Jar
candied_strawberries, Pickling Jar
candied_orange_flower, Pickling Jar
cotton_thread, Joy Wheel Loom
woolen_yarn, Joy Wheel Loom
cotton_fabric, Joy Wheel Loom
palm_rope, Joy Wheel Loom
wool_fabric, Joy Wheel Loom
dyed_cotton_fabric, Joy Wheel Loom
wool, Nimbus Bed
quick_wool, Nimbus Bed
petals, Nimbus Bed
star, Starfall Hammock
scales, Floral Windmill
quick_scales, Floral Windmill
